"","x"
"1629",252377
"1630",252378
"1631",252379
"1632",252453
"1633",252454
"1634",252455
"1635",252456
"1636",252457
"1637",252458
"1638",252459
"1639",252460
"1640",252461
"1641",252462
"1642",252463
"1643",252464
"1644",252465
"1645",252466
"1646",252467
"1647",252468
"1648",252469
"1649",252470
"1650",252471
"1651",252472
"1652",252473
"1653",252488
"1654",252489
"1655",252490
"1656",252491
"1657",252492
"1658",252493
"1659",252494
"1660",252495
"1661",252496
"1662",252497
"1663",252498
"1664",252499
"1665",252500
"1666",252501
"1667",252502
"1668",252503
"1669",252504
"1670",252505
"1671",252506
"1672",252507
"1673",252580
"1674",252581
"1675",252582
"1676",252583
"1677",252584
"1678",252585
"1679",252586
"1680",252587
"1681",252588
"1682",252589
"1683",252590
"1684",252591
"1685",252592
"1686",252593
"1687",252594
"1688",252595
"1689",252596
"1690",252597
"1691",252598
"1692",252599
"1693",252600
"1694",252601
"1695",252616
"1696",252617
"1697",252618
"1698",252619
"1699",252620
"1700",252621
"1701",252622
"1702",252623
"1703",252624
"1704",252625
"1705",252626
"1706",252627
"1707",252628
"1708",252629
"1709",252630
"1710",252631
"1711",252632
"1712",252633
"1713",252634
"1714",252635
"1715",252708
"1716",252709
"1717",252710
"1718",252711
"1719",252712
"1720",252713
"1721",252714
"1722",252715
"1723",252716
"1724",252717
"1725",252718
"1726",252719
"1727",252720
"1728",252721
"1729",252722
"1730",252723
"1731",252724
"1732",252725
"1733",252726
"1734",252727
"1735",252728
"1736",252729
"1737",252744
"1738",252745
"1739",252746
"1740",252747
"1741",252748
"1742",252749
"1743",252750
"1744",252751
"1745",252752
"1746",252753
"1747",252754
"1748",252755
"1749",252756
"1750",252757
"1751",252758
"1752",252759
"1753",252760
"1754",252761
"1755",252762
"1756",252763
"1757",252836
"1758",252837
"1759",252838
"1760",252839
"1761",252840
"1762",252841
"1763",252842
"1764",252843
"1765",252844
"1766",252845
"1767",252846
"1768",252847
"1769",252848
"1770",252849
"1771",252850
"1772",252851
"1773",252852
"1774",252853
"1775",252854
"1776",252855
"1777",252856
"1778",252857
"1779",252873
"1780",252874
"1781",252875
"1782",252876
"1783",252877
"1784",252878
"1785",252879
"1786",252880
"1787",252881
"1788",252882
"1789",252883
"1790",252884
"1791",252885
"1792",252886
"1793",252887
"1794",252888
"1795",252889
"1796",252890
"1797",252891
"1798",252964
"1799",252965
"1800",252966
"1801",252967
"1802",252968
"1803",252969
"1804",252970
"1805",252971
"1806",252972
"1807",252973
"1808",252974
"1809",252975
"1810",252976
"1811",252977
"1812",252978
"1813",252979
"1814",252980
"1815",252981
"1816",252982
"1817",252983
"1818",253001
"1819",253002
"1820",253003
"1821",253004
"1822",253005
"1823",253006
"1824",253007
"1825",253008
"1826",253009
"1827",253010
"1828",253011
"1829",253012
"1830",253013
"1831",253014
"1832",253015
"1833",253016
"1834",253017
"1835",253018
"1836",253019
"1837",253020
"1838",253092
"1839",253093
"1840",253094
"1841",253095
"1842",253096
"1843",253097
"1844",253098
"1845",253099
"1846",253100
"1847",253101
"1848",253102
"1849",253103
"1850",253104
"1851",253105
"1852",253106
"1853",253107
"1854",253108
"1855",253109
"1856",253110
"1857",253130
"1858",253131
"1859",253132
"1860",253133
"1861",253134
"1862",253135
"1863",253136
"1864",253137
"1865",253138
"1866",253139
"1867",253140
"1868",253141
"1869",253142
"1870",253143
"1871",253144
"1872",253145
"1873",253146
"1874",253147
"1875",253148
"1876",253220
"1877",253221
"1878",253222
"1879",253223
"1880",253224
"1881",253225
"1882",253226
"1883",253227
"1884",253228
"1885",253229
"1886",253230
"1887",253231
"1888",253232
"1889",253233
"1890",253234
"1891",253235
"1892",253236
"1893",253237
"1894",253238
"1895",253259
"1896",253260
"1897",253261
"1898",253262
